TIPO_BIEN;NUMERO;Importe;TipoImporte;Vencimiento;Cuota;Ano
NULL;NULL;NULL;NULL;30/3/2021;1;2021
NULL;NULL;NULL;NULL;30/4/2021;2;2021
NULL;NULL;NULL;NULL;30/6/2021;3;2021
NULL;NULL;NULL;NULL;30/8/2021;4;2021
NULL;NULL;NULL;NULL;29/10/2021;5;2021
NULL;NULL;NULL;NULL;18/3/2021;0;2021
NULL;NULL;NULL;NULL;30/3/2021;1;2021
NULL;NULL;NULL;NULL;31/5/2021;2;2021
NULL;NULL;NULL;NULL;30/7/2021;3;2021
NULL;NULL;NULL;NULL;30/9/2021;4;2021
NULL;NULL;NULL;NULL;30/11/2021;5;2021
NULL;NULL;NULL;NULL;15/6/2021;0;2021
NULL;NULL;NULL;NULL;30/7/2021;1;2021
NULL;NULL;NULL;NULL;15/12/2021;2;2021
NULL;NULL;NULL;NULL;10/3/2022;0;2022
NULL;NULL;NULL;NULL;15/3/2022;1;2022
NULL;NULL;NULL;NULL;15/6/2022;2;2022
NULL;NULL;NULL;NULL;15/9/2022;3;2022
NULL;NULL;NULL;NULL;15/12/2022;4;2022
NULL;NULL;NULL;NULL;10/3/2022;0;2022
NULL;NULL;NULL;NULL;30/3/2022;1;2022
NULL;NULL;NULL;NULL;29/4/2022;2;2022
NULL;NULL;NULL;NULL;30/6/2022;3;2022
NULL;NULL;NULL;NULL;30/8/2022;4;2022
NULL;NULL;NULL;NULL;31/10/2022;5;2022
NULL;NULL;NULL;NULL;28/3/2022;0;2022
NULL;NULL;NULL;NULL;30/3/2022;1;2022
NULL;NULL;NULL;NULL;31/5/2022;2;2022
NULL;NULL;NULL;NULL;30/7/2022;3;2022
NULL;NULL;NULL;NULL;30/9/2022;4;2022
NULL;NULL;NULL;NULL;30/11/2022;5;2022
NULL;NULL;NULL;NULL;15/6/2022;0;2022
NULL;NULL;NULL;NULL;30/7/2022;1;2022
NULL;NULL;NULL;NULL;30/12/2022;2;2022
NULL;NULL;NULL;NULL;10/3/2023;0;2023
NULL;NULL;NULL;NULL;15/3/2023;1;2023
NULL;NULL;NULL;NULL;15/6/2023;2;2023
NULL;NULL;NULL;NULL;15/9/2023;3;2023
NULL;NULL;NULL;NULL;15/12/2023;4;2023
NULL;NULL;NULL;NULL;10/3/2023;0;2023
NULL;NULL;NULL;NULL;31/3/2023;1;2023
NULL;NULL;NULL;NULL;28/4/2023;2;2023
NULL;NULL;NULL;NULL;30/6/2023;3;2023
NULL;NULL;NULL;NULL;31/8/2023;4;2023
NULL;NULL;NULL;NULL;31/10/2023;5;2023
NULL;NULL;NULL;NULL;29/3/2023;0;2023
NULL;NULL;NULL;NULL;31/3/2023;1;2023
NULL;NULL;NULL;NULL;31/5/2023;2;2023
NULL;NULL;NULL;NULL;31/7/2023;3;2023
NULL;NULL;NULL;NULL;29/9/2023;4;2023
NULL;NULL;NULL;NULL;30/11/2023;5;2023
NULL;NULL;NULL;NULL;15/6/2023;0;2023
NULL;NULL;NULL;NULL;30/7/2023;1;2023
NULL;NULL;NULL;NULL;30/12/2023;2;2023
NULL;NULL;NULL;NULL;11/3/2024;0;2024
NULL;NULL;NULL;NULL;15/3/2024;1;2024
NULL;NULL;NULL;NULL;14/6/2024;2;2024
NULL;NULL;NULL;NULL;16/9/2024;3;2024
NULL;NULL;NULL;NULL;16/12/2024;4;2024
NULL;NULL;NULL;NULL;11/3/2024;0;2024
NULL;NULL;NULL;NULL;29/3/2024;1;2024
NULL;NULL;NULL;NULL;28/6/2024;3;2024
NULL;NULL;NULL;NULL;30/8/2024;4;2024
NULL;NULL;NULL;NULL;31/10/2024;5;2024
NULL;NULL;NULL;NULL;25/3/2024;0;2024
NULL;NULL;NULL;NULL;29/3/2024;1;2024
NULL;NULL;NULL;NULL;31/5/2024;2;2024
NULL;NULL;NULL;NULL;31/7/2024;3;2024
NULL;NULL;NULL;NULL;30/9/2024;4;2024
NULL;NULL;NULL;NULL;29/11/2024;5;2024
NULL;NULL;NULL;NULL;14/6/2024;0;2024
NULL;NULL;NULL;NULL;28/6/2024;1;2024
NULL;NULL;NULL;NULL;30/12/2024;2;2024
NULL;NULL;NULL;NULL;30/12/2019;6;2019
NULL;NULL;NULL;NULL;30/1/2020;6;2019
NULL;NULL;NULL;NULL;30/12/2020;6;2020
NULL;NULL;NULL;NULL;30/1/2021;6;2020
NULL;NULL;NULL;NULL;30/12/2021;6;2021
NULL;NULL;NULL;NULL;31/1/2022;6;2021
NULL;NULL;NULL;NULL;30/12/2022;6;2022
NULL;NULL;NULL;NULL;31/1/2023;6;2022
NULL;NULL;NULL;NULL;29/12/2023;6;2023
NULL;NULL;NULL;NULL;31/1/2024;6;2023
NULL;NULL;NULL;NULL;30/12/2024;6;2024
NULL;NULL;NULL;NULL;31/1/2025;6;2024
