Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;IdTrans;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
91;12/1/2024 00:00;D;PAGO 2021 004 AUAU;NULL;NULL;994,2;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011472;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4931;NULL;NULL;NULL;300011472;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2021 003 AUAU;NULL;NULL;1026,71;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011471;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4932;NULL;NULL;NULL;300011471;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2021 002 AUAU;NULL;NULL;1059,21;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011470;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4933;NULL;NULL;NULL;300011470;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2021 001 AUAU;NULL;NULL;1075,72;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011469;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4934;NULL;NULL;NULL;300011469;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2020 006 AUAU;NULL;NULL;856,68;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011468;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4935;NULL;NULL;NULL;300011468;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2020 005 AUAU;NULL;NULL;881,45;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011467;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4936;NULL;NULL;NULL;300011467;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2020 004 AUAU;NULL;NULL;906,23;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011466;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4937;NULL;NULL;NULL;300011466;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2020 003 AUAU;NULL;NULL;931,01;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011465;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4938;NULL;NULL;NULL;300011465;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2020 002 AUAU;NULL;NULL;943,6;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011464;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4939;NULL;NULL;NULL;300011464;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2020 001 AUAU;NULL;NULL;956,19;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011463;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4940;NULL;NULL;NULL;300011463;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
