Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000024;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000025;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000025;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000026;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000026;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000027;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000027;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000028;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000028;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000029;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000029;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000030;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000030;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000031;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000031;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000032;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000032;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000033;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000032;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000034;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
