IdTrans;IDENTIFICADOR;Codigo;ID_AUTOMOTOR;TIPO_CATEGORIA_AUTOMOTOR;CIP;ANO_VALUACION;MODELO_AUTOMOTOR;NRO_MOTOR;NRO_CHASIS;CERTIFICADO_FABRICACION;NRO_ADUANA;MARCA_VEHICULO;DESCRIPCION_INDIVIDUAL;PESO_CILINDRADA;IMPORTADO;DOMINIO;VIM;TIPO_ALTA;VALOR_FACTURA;CARGA;SUBESCALA;Fecha;BASE_IMP_CALC;BASE_IMP_CALC2;BASE_IMPCALC2;BASE__IMPCALC2;LIQUIDA;ID_AUTOMOTORPGM;FechaAlta;EXENCION;Valuacion2023;Valuacion2024;FechaBaja
24354; ;0000104;000040; ;13605274;2008; ;UNF433778; ; ; ;VOLKSWAGEN GOL 1.6; ;NULL; ;GUY483; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2008-01-01 00:00:00.000; ;0,00;0,00;2020-01-08 00:00:00.000
24355; ;0000105;000041; ;13605348;2007; ;BAH351754; ; ; ;VOLKSWAGEN FOX 1.6; ;NULL; ;GQH998; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2007-09-03 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24356; ;0000106;000042; ;04782180;1992; ;JPA128353E; ; ; ;FORD F-100 DIESEL; ;NULL; ;VXY919; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2007-05-29 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24357; ;0000010;000043; ;0041761;1994; ;146 B1 0003812142; ; ; ; ; ;NULL; ;RFE358; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1994-01-17 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24358; ;0000108;000045; ;04119XH;2014; ;PNDA FJ234706; ; ; ;FORD FOCUS 5P 1.6L N MT S; ;NULL; ;NYW185; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2014-06-23 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24359; ;0000109;000046; ;13605413;2015; ;CFZN48733; ; ; ;VOLKSWAGEN GOL TREND 1.6; ;NULL; ;OQP058; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2015-02-26 00:00:00.000; ;0,00;0,00;2021-08-06 00:00:00.000
24360; ;0000111;000049; ;04405592;2008; ;178E80118012085; ; ; ;FIAT UNO FIRE 1242 MPI 8V; ;NULL; ;HAY714; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2008-12-01 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24361; ;0000049;000050; ;033372T;2016; ;K4M2842Q083483; ; ; ;RENAULT NUEVO SANDERO STEPWAY DYNAMIQUE; ;NULL; ;AA737FN; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2016-11-11 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24362; ;0000114;000053; ;21477607;1994; ;5933821; ; ; ; ; ;NULL; ;SWO972; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1994-06-17 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24363; ;0000115;000054; ;13605463;2011; ;CNB003134; ; ; ;VOLKSWAGEN GOL 1.4 L; ;NULL; ;KDT799; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2011-07-13 00:00:00.000; ;0,00;0,00;2021-04-23 00:00:00.000
